Participant ID,Trial.No,Trust_Score,TAM_PU,TAM_PEOU,TAM_Total,Specify what gender you identify with,How old are you?,  How often do you ride a bicycle?  ,How confident are you in your cycling skills?,  Have you used VR systems or simulators before?  ,"  If yes, how often do you use VR or simulators?  ",How familiar are you with VR or simulation environments?  
10,2,3.75,3.2,6.4,4.8,Male,22,Several times per month,7,No,This is my first time,1
10,3,4.416666666666667,2.0,4.6,3.3,Male,22,Several times per month,7,No,This is my first time,1
10,4,2.0,1.4,4.8,3.1,Male,22,Several times per month,7,No,This is my first time,1
10,5,3.8333333333333335,1.4,6.4,3.9,Male,22,Several times per month,7,No,This is my first time,1
10,6,1.75,1.0,5.6,3.3,Male,22,Several times per month,7,No,This is my first time,1
11,1,3.0833333333333335,2.2,4.8,3.5,Male,21,Several times per month,7,Yes,Rarely,3
11,2,1.5833333333333333,2.2,5.8,4.0,Male,21,Several times per month,7,Yes,Rarely,3
11,3,1.5,2.2,4.6,3.4,Male,21,Several times per month,7,Yes,Rarely,3
11,4,2.8333333333333335,1.8,5.2,3.5,Male,21,Several times per month,7,Yes,Rarely,3
11,5,1.8333333333333333,2.0,5.2,3.6,Male,21,Several times per month,7,Yes,Rarely,3
11,6,2.4166666666666665,1.4,5.0,3.2,Male,21,Several times per month,7,Yes,Rarely,3
12,1,4.416666666666667,3.0,5.4,4.2,Male,22,Rarely,6,No,This is my first time,1
12,2,4.833333333333333,3.4,5.6,4.5,Male,22,Rarely,6,No,This is my first time,1
12,3,4.583333333333333,3.6,6.0,4.8,Male,22,Rarely,6,No,This is my first time,1
12,4,4.666666666666667,3.6,5.8,4.7,Male,22,Rarely,6,No,This is my first time,1
12,5,4.583333333333333,3.6,5.8,4.7,Male,22,Rarely,6,No,This is my first time,1
12,6,4.166666666666667,3.8,6.0,4.9,Male,22,Rarely,6,No,This is my first time,1
13,1,4.75,5.0,6.6,5.8,Male,20,Several times per month,6,Yes,Rarely,4
13,2,4.333333333333333,5.0,6.0,5.5,Male,20,Several times per month,6,Yes,Rarely,4
13,3,4.583333333333333,4.8,6.4,5.6,Male,20,Several times per month,6,Yes,Rarely,4
13,4,4.75,4.6,6.8,5.7,Male,20,Several times per month,6,Yes,Rarely,4
13,5,4.5,4.4,6.8,5.6,Male,20,Several times per month,6,Yes,Rarely,4
13,6,4.916666666666667,4.6,6.8,5.7,Male,20,Several times per month,6,Yes,Rarely,4
14,1,2.4166666666666665,3.4,6.8,5.1,Male,23,Several times per week,7,No,This is my first time,2
14,2,3.25,3.6,6.2,4.9,Male,23,Several times per week,7,No,This is my first time,2
14,3,2.5,1.6,4.8,3.2,Male,23,Several times per week,7,No,This is my first time,2
14,4,4.0,3.2,6.0,4.6,Male,23,Several times per week,7,No,This is my first time,2
14,5,3.6666666666666665,3.8,6.0,4.9,Male,23,Several times per week,7,No,This is my first time,2
14,6,3.5,3.0,6.0,4.5,Male,23,Several times per week,7,No,This is my first time,2
15,1,2.5833333333333335,5.8,3.6,4.7,Male,26,Several times per month,6,Yes,Rarely,6
15,2,2.6666666666666665,1.2,1.4,1.3,Male,26,Several times per month,6,Yes,Rarely,6
16,1,3.75,3.0,6.2,4.6,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,2,4.166666666666667,5.0,7.0,6.0,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,3,4.666666666666667,6.6,6.8,6.7,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,4,4.583333333333333,6.8,6.6,6.7,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,5,4.333333333333333,7.0,6.8,6.9,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
16,6,4.666666666666667,7.0,7.0,7.0,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
