Timestamp,Participant ID,Trial.No,1. The riding assist is capable of interpreting situations correctly.  ,2. The riding assist works reliably.,3. A malfunction of the riding assist is likely. ,4. The riding assist is capable of handling complex riding tasks.  ,5. The riding assist might make sporadic errors.,6. I am confident about the riding assist’s capabilities. ,7. The riding assist was always clear to me. ,8. The riding assist reacts unpredictably. ,9. I was able to understand why things happened.,10. It is difficult to identify what the riding assist will do next. ,11. I trust the riding assist. ,12. I can rely on the riding assist. ,13. Using the riding assist would enable me to accomplish riding tasks more quickly.,14. Using the riding assist would improve my riding performance.,15. Using the riding assist would increase my riding productivity.,16. Using the riding assist would make riding easier for me.,17. I would find the riding assist useful for my riding activities.,18. Learning to operate the riding assist would be easy for me.,19. I would find it easy to get the riding assist to do what I want it to do.,20. I would find the riding assist flexible to interact with.,21. It would be easy for me to become skillful at using the riding assist.,22. I would find the riding assist easy to use.,23. What you notice during the ride?,24. What you think the system is doing?,25. What you expect the system will do next?,23. Mental Demand: How mentally demanding was the riding? ,24. Physical Demand: How physically demanding was the riding?  ,25. Temporal Demand: How hurried or rushed was the pace of the riding?   ,26. Performance: How successful were you in accomplishing the riding task?     ,27. Effort: How hard did you have to work to accomplish your level of performance?     ,"28. Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?   ","The system’s state (e.g., when it is about to intervene with steering) was always clear to me. ",Column 35,What you notice during the ride?,What you notice during the ride?
28/01/2026 14:09:34,6,6,5,4,2,4,2,4,4,2,4,3,3,2,3,3,3,4,6,6,4,5,5,5,The lane assist turned off in the last curve again. And the sequence started with a 3. But overall it worked correctly this time i think,"In conclusion, I think the riding assist was tuned to different levels, sometimes it was reliable and sometimes not (little wonky or completely off)","Nothing, this is the end",,,,,,,,,,
28/01/2026 14:31:01,7,1,3,3,2,2,3,3,2,1,4,2,3,2,2,3,3,2,4,6,4,5,6,7,memorising the numbers is harder than staying in the lane,trying to keep me in line?,vibrating when i get off the lane,,,,,,,,,,
28/01/2026 14:39:59,7,2,3,3,2,3,4,2,2,2,1,2,3,2,4,3,3,2,2,5,4,5,6,5,sometimes it vibrates without me knowing why,kepping me in the lane? it rarly vibrates,vibrate when i get out of the lane,,,,,,,,,,
28/01/2026 14:48:32,7,3,2,2,3,1,4,2,1,2,2,4,1,2,2,2,3,1,1,4,3,3,4,3,the riding assistent tried to correct the way but it felt like it wanted to get me off the lane,keeping me in the lane and steering against me if i ride off the lane,keeping me in the lane,,,,,,,,,,
28/01/2026 14:56:24,7,4,2,2,4,1,5,1,1,2,4,4,1,1,2,1,2,1,2,4,3,2,4,2,it vibrated when i still was in the lane so i didnt know what was happening and it robbed my focus,trying to keep me in the lane and to predict my steering maybe,trying to keep me in the lane while still vibrating when i dont know whats wrong,,,,,,,,,,
28/01/2026 15:03:04,7,5,2,2,3,1,4,1,1,3,4,2,1,1,3,1,3,1,1,4,3,3,4,4,focusing on the riding becomes less of a task but i dont realy rely on the assistent,trying to keep me in the line,trying to keep me in the line,,,,,,,,,,
28/01/2026 15:09:15,7,6,2,2,2,1,4,2,4,1,5,2,2,1,2,1,1,1,2,4,2,2,3,3,it corrected me when i didnt know why because i was still in the lane. I think i just got more used to the situations and tried relying on the assistent but could only like half ,keeping me in the lane and steering against me if i dont,keeping me in the lane,,,,,,,,,,
28/01/2026 15:26:40,8,1,3,3,4,3,5,1,4,5,2,3,2,2,6,5,6,2,1,3,1,3,6,4,"Intuitiv wollte ich gegen den Assitent steuern weil er was gemacht hat, was sich falsch angefühlt hat. Aber wenn ich dagengesteuert habe ist der Assistent komplett eskaliert ",straße anschauen und folgen,auf der straße bleiben,,,,,,,,,,
28/01/2026 15:33:32,8,2,4,4,2,1,2,4,5,2,5,2,4,4,1,1,1,2,2,6,1,1,5,2,Es hat zu spät auf alles reagiert. Ich wollte früher in die Kurven dafür aber weniger stark wohin gegen der Assistent sehr spät und stark gelengt hat. Es dadurch hab ich gefühlt gegen den assistent gearbeitet ,Sucht ob kruve da ist und biegt dann ab,hat abbiegen ,,,,,,,,,,
28/01/2026 15:40:07,8,3,4,4,2,1,4,4,2,4,1,1,1,1,1,1,2,3,1,2,1,1,3,1,"Es hat sich so angefühlt, als wäre er diesmal viel weniger aktiv was angenehmer war aber bei einer kurve hat er aus dem nichts stark eingegriffen",versuchen auf einer gerade straße zu bleiben,versuchen auf der straße zu bleiben. Diese frage ist irgendwie schwer zu interpetieren ,,,,,,,,,,
28/01/2026 15:47:59,8,4,5,5,1,5,2,5,4,1,5,1,5,5,2,3,2,3,4,6,2,1,5,6,"Ich habe erst jetzt verstanden, dass er funktioniert, wenn ich nicht eingreife. Wenn ich ihn einfach machen lasse ohne selber zu lenken hat es sehr gut funktioniert. Aber wenn ich auch steuern möchte funktioniert es nicht intuitiv",ich glaube es versucht einfach gerade zu verfahren und wenn es von der straße kommt lenkt es. Aber es versucht nur nicht vom rand anzukommen,verstehe die frage noch immer nicht. Weiterhin am straßenrand weiter fahren,,,,,,,,,,
28/01/2026 15:54:17,8,5,5,5,5,5,1,5,5,1,5,2,5,4,1,1,3,2,2,7,7,7,4,7,"es hat dieses mal sehr gut funktioniert also ich hatte nicht das gefühl, als würde es micht gerade stören, aber ich hatte auch nicht das gefühl als wäre es super hilfreich",auf der straße bleiben aber hat wenig eingegriffen,auf der straße bleiben idk,,,,,,,,,,
28/01/2026 16:00:42,8,6,5,5,5,5,2,3,5,1,5,2,5,5,1,1,1,2,3,6,7,7,5,5,Es hat normal funktioniert aber hat glaube ich sehr wenig eingegriffen also ich konnte normal steurn ist nur eingeschritten wenn ich fast von der straße abgekommen wäre glaub ich ,glaube diesmal eher wenig aber auch versuchen auf der straße zu bleiben,auf der straße bleiben,,,,,,,,,,
28/01/2026 16:21:38,9,1,3,4,1,4,2,4,4,1,4,1,5,5,4,6,7,5,6,6,6,5,6,7,"My focus was nearly zero on riding the bike, more on keeping tack of the numbers. However I finished the round successfully. The assistant supported this fact but it warns pretty early which I could have resolved by my own evntually.. ","It has predefined areas in which the assisstant is either not doing anything, warning me and interacting with the bike physically to bring it back in the other area.",The sceanario and areas are as I think predefined. It would be interesseting to see it on streets that are not always of the same width. ,,,,,,,,,,
28/01/2026 16:30:18,9,2,5,4,1,4,1,5,4,1,5,1,5,5,5,6,7,4,6,7,7,4,6,7,In this ride the assistant only noticed me once. I only see the pedestrians becuase the numbers are on the left and they are usaually coming from this side.,Assisting keeping the lane.,A nice visuailization where the area begins to notice me and when it actually warns me. Also a statistic of how often he corrected me would be nice.,,,,,,,,,,
28/01/2026 16:38:19,9,3,5,5,1,3,1,5,5,1,5,1,5,5,5,6,7,5,6,7,7,5,7,7,In this ride the riding assist didnt even corrected me once. I dont know if I improve my riding perfomance with each trial or if the assist now has a wider area where he does nothing and realy only interacts if neccessary. The faster I drive the harder it gets to keep track of the numbers and the track.,I think now it has a wider area where he lets me drive without interacting.,Also interact with diffrent objects on the side like a car driving to close or next to a parked car I am too close.,,,,,,,,,,
28/01/2026 16:47:11,9,4,5,5,1,5,2,5,5,5,5,1,5,5,5,6,7,6,7,7,7,7,6,7,It felt like the assist was triggered 2-3 times but there wasnt any vibration or signal before. Since the light of the state and the number are on diffrent sides it is also difficult to check both. The NPC once slided me to the side and when I wanted to start riding again the assist pushed stron to the middle. I think this was to much force for too less speed would have been nice when it increases the force step by step and also detects when I want to go somewhere else instead of working against my direction wish.,It always keeps the same force of correcting me altough I am pretty slow.,Detect if I (absichtlich) want to steer into another direction. ,,,,,,,,,,
28/01/2026 16:54:38,9,5,5,5,1,4,1,5,5,1,5,1,5,5,5,6,7,7,6,7,7,5,6,7,"I still dont know if I am getting more used to the simulation or if the riding assistant is so good. I almost have zero focus on the riding, only on checking for pedestrians. So it sure makes me feel like I can focus more on other things.",Remains unchanged to prioir trial runs,A switch between only notice me that I am leaving the lane and actually correcting the bike would be nice. So I can evntually dirve somewhere off the lane without getting pushed to the lane. ,,,,,,,,,,
28/01/2026 17:01:29,9,6,3,4,2,4,2,5,5,2,4,3,5,5,6,6,6,6,7,7,6,5,6,7,On this ride it always made me loose focus because it always wanted to warn me altough I was far away from leaving the lane from like taking the corner sharper,The area where it warns me is alaways the same on corners and straight parts.,Detect corneres and let me take it sharper without making me loose my focus.,,,,,,,,,,
28/01/2026 17:19:05,10,1,4,4,2,2,5,3,1,2,5,1,2,4,6,3,3,1,1,3,6,3,3,3,the riding assist is a bit lagging behind,it is correcting the moves of the rider in a way to keep the lane,improve breaking performance,,,,,,,,,,
28/01/2026 17:29:30,10,2,4,4,3,4,2,4,4,2,4,3,3,4,5,2,2,5,2,6,6,7,7,6,i do not need to focus at the street but can still keep the track,it is giving motionhints depending on the situation the rider is in,anticipate what could happen next depending on the environment,,,,,,,,,,
28/01/2026 17:37:01,10,3,5,5,2,4,2,5,5,2,5,2,4,4,1,2,3,2,2,6,3,2,6,6,when the riding assist corrects steering it might lead to the rider making the situation even worse by extremely steering in the corrected direction ,it is correcting my movements to stay in line,anticipate the situation regarding pedestrians,,,,,,,,,,
28/01/2026 17:44:38,10,4,2,2,4,2,4,2,1,4,2,5,2,4,1,1,1,2,2,7,2,3,6,6,the assist corrected my driving in situations where I did not expect it to do so because I was staying on the track,it is taking a fixed distance to the track ends and acts if the rider approaches those too tightly,correct the curves,,,,,,,,,,
28/01/2026 17:50:50,10,5,4,4,2,5,4,4,4,2,4,2,3,4,2,2,1,1,1,6,7,7,6,6,the system corrected my in the corner where I was cutting the corner,it is correcting my lane,control the brakes when pedestrians are approaching,,,,,,,,,,
28/01/2026 17:57:05,10,6,4,1,4,1,5,1,1,5,2,2,2,1,1,1,1,1,1,7,2,6,7,6,the riding assist did not react to me crashing into the pedestrians,is is only correcting the lane,it should look at the pedestrians,,,,,,,,,,
29/01/2026 10:11:34,11,1,4,4,1,3,4,3,3,4,4,4,3,2,2,3,2,2,2,7,3,2,6,6,handlebar vibrates sometimes,correcting when leaving the path,turn the bike back onto the path,,,,,,,,,,
29/01/2026 10:16:54,11,2,1,1,5,1,5,2,1,5,2,4,2,4,2,3,3,2,1,6,6,4,6,7,the vibrating sometimes triggers unecessarily,vibrating when it thinks im leaving the path,notify me and then correct me on the path,,,,,,,,,,
29/01/2026 10:21:25,11,3,1,1,5,2,5,2,1,5,1,5,2,4,2,2,2,3,2,6,3,4,5,5,once it turned me in the wrong direction,trying to keep me on track,keep me on the track,,,,,,,,,,
29/01/2026 10:26:13,11,4,4,3,3,3,4,2,4,4,3,4,2,4,2,2,2,2,1,7,3,4,6,6,i think no vibrations this round,trying to keep me on track,keep me on track if I leave,,,,,,,,,,
29/01/2026 10:31:45,11,5,2,3,4,2,5,3,2,4,1,5,1,2,2,2,2,3,1,6,2,4,7,7,vibrating when I was clearly in the middle of the path,"idk, randomly vibrating and keeping me on track",keep me on track,,,,,,,,,,
29/01/2026 10:36:18,11,6,3,2,4,4,4,2,4,5,4,4,2,1,2,1,1,2,1,7,3,4,6,5,mostly vibrated at the correct times,keeping my on track,turn if I leave track,,,,,,,,,,
29/01/2026 11:13:57,12,1,5,5,2,4,1,4,4,1,5,2,4,4,3,4,4,2,2,6,6,5,5,5,It hard to keep track of the numbers while riding around,-,-,,,,,,,,,,
29/01/2026 11:20:08,12,2,5,5,1,4,1,5,5,1,5,2,5,5,4,3,4,4,2,6,5,5,6,6,same as before,-,-,,,,,,,,,,
29/01/2026 11:24:44,12,3,5,5,2,3,2,4,5,1,5,1,5,5,4,4,4,3,3,6,6,6,6,6,same as before,-,-,,,,,,,,,,
29/01/2026 11:30:59,12,4,5,4,1,3,2,5,5,1,5,1,5,5,4,4,4,3,3,5,6,6,6,6,same as before,-,-,,,,,,,,,,
29/01/2026 11:35:37,12,5,5,5,1,4,2,4,4,1,4,1,5,5,4,4,4,3,3,5,6,6,6,6,same as before,-,-,,,,,,,,,,
29/01/2026 11:41:23,12,6,4,4,2,4,2,4,4,2,5,1,4,4,4,4,4,3,4,6,6,6,6,6,assist activates even though i am in the middle of the track,-,-,,,,,,,,,,
29/01/2026 12:09:45,13,1,5,5,1,4,1,4,4,1,5,1,5,5,5,5,5,5,5,6,6,7,7,7,"sensored on the side if I went of the road, brake at footcrossing?",detect if the bike goes of bounds or there is a pedastrian in the way,correct / notify me on these wrong actions,,,,,,,,,,
29/01/2026 12:16:51,13,2,5,4,4,5,4,5,5,1,5,1,5,4,5,5,5,5,5,6,6,5,7,6,sensoring when I went to the edge of the road,check am I in bounds of the road,notify me when I'am not,,,,,,,,,,
29/01/2026 12:24:07,13,3,4,5,1,4,1,5,4,1,5,1,4,4,5,5,5,4,5,7,6,6,7,6,sensoring when I get close to the side of the roud,check if I'am in the middle of the roud,notify when I'am not,,,,,,,,,,
29/01/2026 12:32:38,13,4,4,5,1,4,1,4,5,1,5,1,5,5,5,4,5,5,4,7,7,6,7,7,sensoring when going near the edge of the road,check if I'am in the bounds of the road,sensor me when I'am not,,,,,,,,,,
29/01/2026 12:38:32,13,5,5,5,1,4,1,5,1,1,5,1,5,4,5,4,5,4,4,7,7,6,7,7,sensoring when I got close to the edge of the road,check if I'am in bounds of the road,notify me when I'am not,,,,,,,,,,
29/01/2026 12:44:31,13,6,5,5,1,4,1,5,5,1,5,1,5,5,5,4,5,4,5,7,7,6,7,7,sensoring when near the edge of the road,check if I'am in the middle of the road,notify me when I'am not in the middle,,,,,,,,,,
29/01/2026 13:13:23,14,1,1,1,2,2,2,2,1,2,2,2,2,2,6,3,3,3,2,7,7,6,7,7,hard to concentrate on the numbers,helping me keep the bike in lane,maybe work eben better,,,,,,,,,,
29/01/2026 13:19:21,14,2,4,4,2,4,2,3,2,4,2,2,3,3,5,3,3,5,2,6,6,5,7,7,assistance was stronger than in the first round,help me to stay on track,maybe help with pedestrians,,,,,,,,,,
29/01/2026 13:25:41,14,3,3,2,4,3,4,2,3,2,3,4,2,2,1,1,2,2,2,6,5,3,5,5,"strange behaviour, started helping me late but very strong",correccting my handling of the bike ,maybe help me stronger; not instant but it should get increasingly stronger,,,,,,,,,,
29/01/2026 13:30:01,14,4,4,4,2,4,2,4,4,2,4,2,4,4,3,3,3,4,3,6,6,6,6,6,early help with steering and stronger at the side of the road - very good,helping me keep it on the road and warning me if i am not in the middle,improve that,,,,,,,,,,
29/01/2026 13:34:56,14,5,4,4,2,4,2,4,4,4,4,4,4,4,3,3,3,5,5,6,6,6,6,6,warned me to early but steering help was good,"helping me keep it on the road, and warning me when leaving the middle section",help even better,,,,,,,,,,
29/01/2026 13:39:42,14,6,5,4,2,3,3,4,3,3,3,2,3,3,3,3,3,3,3,6,6,6,6,6,this was the best one but at the end one time it interacted weirdly,"helping me stay on strack without warning but just steering in the right direction, like a SPURHALTEASSISTENT in a car",work like this model but without that one weird interaction,,,,,,,,,,
31/01/2026 15:11:09,15,1,3,3,2,3,4,3,1,4,2,3,3,2,7,7,7,7,1,4,2,3,4,5,i got motion sickness,alarm me about potential collisions,vibrate ,,,,,,,,,,
31/01/2026 15:18:42,15,2,3,3,3,3,4,4,2,3,3,4,1,3,2,1,1,1,1,3,1,1,1,1,i got motion sick again,vibrating to alarm me of potential mistakes,vibrate n dangerouse situations,,,,,,,,,,
31/01/2026 16:08:24,16,1,5,5,1,3,3,3,5,1,5,4,2,2,4,3,3,2,3,7,6,5,6,7,It was stressfull focusing on the numbers,"it scans the borders of the road and corrects me, when i come near to them",correct my driving more. so i can focus on the numbers,,,,,,,,,,
31/01/2026 16:14:17,16,2,5,5,2,4,1,4,4,2,5,2,3,3,5,5,4,6,5,7,7,7,7,7,i tusted the system more now,supporting me and correting my steering,help me riding,,,,,,,,,,
31/01/2026 16:20:32,16,3,5,5,1,4,3,4,5,1,5,1,5,5,7,6,7,7,6,7,7,6,7,7,"i am only looking at the street, when i am near a crosswalk",correcting my sterring,also correcting my sterring,,,,,,,,,,
31/01/2026 16:27:02,16,4,5,5,1,4,1,5,4,2,5,2,4,5,7,7,7,7,6,7,6,6,7,7,"the assist still vibrates, even when it it is. This was disturbin at first",checking for borders of the street and correcting me,correting my sterring,,,,,,,,,,
31/01/2026 16:35:55,16,5,4,5,5,5,4,5,5,1,5,1,5,5,7,7,7,7,7,7,7,7,7,6,i got pushed to the side by a pedestrian and the system misunderstood that and tought i was driving into the border,scanning the borders and correting my sterring,correct my sterring again,,,,,,,,,,
31/01/2026 16:40:16,16,6,5,5,2,5,1,5,5,4,5,1,5,5,7,7,7,7,7,7,7,7,7,7,everything went normal,correting my sterring,correcting my sterring,,,,,,,,,,
